,start_station,start_date
353,livingston rd & 3rd st se,9/21/2017 1:14
354,long bridge park/long bridge dr & 6th st s,11/15/2013 19:48
355,lynn & 19th st north,4/16/2011 19:34
356,lyttonsville rd & lyttonsville pl,4/2/2016 10:22
357,m st & delaware ave ne,2/15/2013 7:21
358,m st & new jersey ave se,9/20/2010 11:27
359,m st & pennsylvania ave nw,12/21/2011 12:01
360,madison & fairfax st,11/10/2016 12:18
361,madison & n henry st,2/17/2016 7:47
362,maine ave & 7th st sw,4/1/2017 2:01
363,maple & ritchie ave,9/27/2013 13:31
364,market square / king st & royal st,8/27/2012 11:00
365,maryland & independence ave sw,1/27/2012 13:18
366,maryland ave & e st ne,11/10/2015 11:26
367,massachusetts ave & dupont circle nw,9/20/2010 13:34
368,mckinley st & connecticut ave nw,10/15/2014 11:24
371,medical center dr & key west ave,1/9/2014 11:54
372,medical center metro,2/23/2016 17:56
373,metro center / 12th & g st nw,5/13/2011 9:04
374,minnesota ave metro/does,9/20/2010 12:14
375,mississippi ave & 19th st se / thearc,9/22/2017 6:11
377,monroe ave & leslie ave,8/20/2014 15:32
378,monroe st & monroe pl,11/1/2013 13:09
379,montgomery & east ln,9/27/2013 15:48
380,montgomery ave & waverly st,10/20/2013 17:20
381,montgomery college/w campus dr & mannakee st,10/19/2013 17:43
382,mount vernon ave & bruce st,7/20/2016 15:53
383,mount vernon ave & e del ray ave,8/19/2014 17:30
384,mount vernon ave & e nelson ave,8/19/2014 12:41
385,mount vernon ave & four mile run park,7/20/2016 16:00
386,mount vernon ave & kennedy st,8/19/2014 17:22
390,n lynn st & fairfax dr,11/9/2016 17:32
392,n pershing dr & wayne st,7/2/2013 9:25
393,n quincy st & glebe rd,4/28/2012 11:56
395,n randolph st & fairfax dr,4/27/2012 17:25
396,n rhodes & 16th st n,4/17/2011 9:14
397,n veitch  & 20th st n,4/24/2012 6:44
398,n veitch & key blvd,4/24/2012 12:06
399,nannie helen burroughs & minnesota ave ne,10/5/2010 17:58
400,nannie helen burroughs ave & 49th st ne,11/9/2013 18:03
401,neal st & trinidad ave ne,6/14/2013 11:32
402,nebraska ave/au east campus,6/22/2017 7:40
403,needwood rd & eagles head ct,10/18/2013 17:39
404,new dominion pkwy & fountain dr,10/21/2016 9:47
405,new hampshire & kirklynn ave,2/17/2017 14:37
406,new hampshire ave & 24th st nw,8/6/2014 13:59
407,new hampshire ave & t st nw,5/1/2013 0:01
409,new jersey ave & l st nw,8/2/2016 8:42
410,new jersey ave & n st nw/dunbar hs,11/5/2013 9:48
411,new jersey ave & r st nw,5/14/2013 8:01
412,new york ave & 15th st nw,10/9/2010 14:34
413,new york ave & hecht ave ne,11/12/2015 18:05
414,norfolk & rugby ave,10/26/2013 17:28
415,norfolk ave & fairmont st,9/27/2013 14:54
416,north capitol st & f st nw,10/26/2010 14:47
417,north capitol st & g pl ne,12/13/2013 12:39
418,north shore & cameron crescent dr/crescent apartments,1/13/2017 12:16
419,north shore dr & village rd,2/23/2017 16:46
420,offutt ln & chevy chase dr,10/25/2013 13:30
421,ohio dr & west basin dr sw / mlk & fdr memorials,3/16/2012 9:57
422,oklahoma ave & d st ne,9/11/2015 21:59
423,old georgetown rd & southwick st,11/13/2013 15:18
424,park rd & holmead pl nw,9/20/2010 12:31
425,pennsylvania & minnesota ave se,10/16/2010 17:18
427,pentagon city metro / 12th & s hayes st,8/1/2014 8:31
428,pershing & n george mason dr,8/29/2013 15:34
429,philadelphia & maple ave,9/27/2013 14:12
430,piccard & w gude dr,10/27/2013 15:28
431,pleasant st & mlk ave se,6/4/2013 11:21
432,pooks hill rd & linden ave,1/8/2017 9:37
433,potomac & m st nw,4/13/2017 3:49
434,potomac & pennsylvania ave se,9/22/2010 20:38
435,potomac & swann ave,7/28/2016 17:40
436,potomac ave & 35th st s,10/24/2012 13:40
437,potomac ave & 8th st se,10/9/2013 15:03
438,potomac ave & main line blvd,6/9/2016 13:03
439,potomac greens dr & slaters ln,8/20/2014 13:06
440,powhatan st & bashford ln,7/28/2016 16:39
441,prince st & union st,8/27/2012 8:31
442,radford & osage st,6/9/2016 14:31
444,randle circle & minnesota ave se,5/1/2013 20:20
445,reston pkwy & spectrum dr,5/10/2017 12:11
446,reston regional library,10/5/2016 10:47
447,reston station,10/5/2016 9:37
448,reston town center transit station,10/5/2016 11:23
449,reston ymca,10/21/2016 10:11
450,rhode island & connecticut ave nw,4/1/2017 1:23
451,rhode island ave & v st ne,7/30/2013 16:33
452,rhode island ave metro,2/24/2014 13:17
453,ripley & bonifant st,10/30/2013 18:11
454,river rd & landy ln,4/8/2014 15:40
455,rockville metro east,2/24/2014 19:38
456,rockville metro west,4/18/2014 15:24
457,rolfe st & 9th st s,3/12/2014 11:00
458,rosslyn metro / wilson blvd & ft myer dr,4/18/2011 15:31
459,royal & wilkes st,4/28/2016 19:56
461,s arlington mill dr & campbell ave,4/24/2013 10:57
462,s four mile run & walter reed dr,7/3/2015 13:06
463,s four mile run dr & s shirlington rd,4/23/2013 11:11
464,s george mason dr & 13th st s,7/1/2013 20:07
465,s george mason dr & four mile run,7/1/2013 14:33
466,s glebe & potomac ave,9/20/2010 20:54
467,s joyce & 16th st s,11/5/2014 12:36
468,s joyce & army navy dr,9/20/2010 21:33
469,s kenmore & 24th st s,4/26/2013 12:09
470,s oakland st & columbia pike,4/24/2013 19:34
471,s stafford & 34th st s,7/2/2013 12:37
472,s troy st & 26th st s,4/26/2013 13:39
473,s walter reed dr & 8th st s,6/3/2015 16:53
474,saint asaph & madison st,2/17/2016 11:17
475,saint asaph st & pendleton  st,8/31/2012 18:00
476,shady grove hospital,1/9/2014 14:58
477,shady grove metro east,4/11/2017 7:35
478,shady grove metro west,4/21/2014 8:55
